Station,Scenario,IntervalStartDt,IntervalEndDt,CloudCover
White Plains,ACTUAL,08/01/2017  00:00 ,08/01/2017  01:00 ,0
White Plains,ACTUAL,08/01/2017  01:00 ,08/01/2017  02:00 ,0
White Plains,ACTUAL,08/01/2017  02:00 ,08/01/2017  03:00 ,0
White Plains,ACTUAL,08/01/2017  03:00 ,08/01/2017  04:00 ,0
White Plains,ACTUAL,08/01/2017  04:00 ,08/01/2017  05:00 ,0
White Plains,ACTUAL,08/01/2017  05:00 ,08/01/2017  06:00 ,0
White Plains,ACTUAL,08/01/2017  06:00 ,08/01/2017  07:00 ,0
White Plains,ACTUAL,08/01/2017  07:00 ,08/01/2017  08:00 ,0
White Plains,ACTUAL,08/01/2017  08:00 ,08/01/2017  09:00 ,0
White Plains,ACTUAL,08/01/2017  09:00 ,08/01/2017  10:00 ,0
White Plains,ACTUAL,08/01/2017  10:00 ,08/01/2017  11:00 ,30
White Plains,ACTUAL,08/01/2017  11:00 ,08/01/2017  12:00 ,30
White Plains,ACTUAL,08/01/2017  12:00 ,08/01/2017  13:00 ,30
White Plains,ACTUAL,08/01/2017  13:00 ,08/01/2017  14:00 ,30
White Plains,ACTUAL,08/01/2017  14:00 ,08/01/2017  15:00 ,30
White Plains,ACTUAL,08/01/2017  15:00 ,08/01/2017  16:00 ,30
White Plains,ACTUAL,08/01/2017  16:00 ,08/01/2017  17:00 ,30
White Plains,ACTUAL,08/01/2017  17:00 ,08/01/2017  18:00 ,30
White Plains,ACTUAL,08/01/2017  18:00 ,08/01/2017  19:00 ,30
White Plains,ACTUAL,08/01/2017  19:00 ,08/01/2017  20:00 ,30
White Plains,ACTUAL,08/01/2017  20:00 ,08/01/2017  21:00 ,0
White Plains,ACTUAL,08/01/2017  21:00 ,08/01/2017  22:00 ,0
White Plains,ACTUAL,08/01/2017  22:00 ,08/01/2017  23:00 ,0
White Plains,ACTUAL,08/01/2017  23:00 ,08/02/2017  00:00 ,0
White Plains,ACTUAL,08/02/2017  00:00 ,08/02/2017  01:00 ,0
White Plains,ACTUAL,08/02/2017  01:00 ,08/02/2017  02:00 ,0
White Plains,ACTUAL,08/02/2017  02:00 ,08/02/2017  03:00 ,0
White Plains,ACTUAL,08/02/2017  03:00 ,08/02/2017  04:00 ,0
White Plains,ACTUAL,08/02/2017  04:00 ,08/02/2017  05:00 ,0
White Plains,ACTUAL,08/02/2017  05:00 ,08/02/2017  06:00 ,0
White Plains,ACTUAL,08/02/2017  06:00 ,08/02/2017  07:00 ,0
White Plains,ACTUAL,08/02/2017  07:00 ,08/02/2017  08:00 ,0
White Plains,ACTUAL,08/02/2017  08:00 ,08/02/2017  09:00 ,0
White Plains,ACTUAL,08/02/2017  09:00 ,08/02/2017  10:00 ,0
White Plains,ACTUAL,08/02/2017  10:00 ,08/02/2017  11:00 ,30
White Plains,ACTUAL,08/02/2017  11:00 ,08/02/2017  12:00 ,30
White Plains,ACTUAL,08/02/2017  12:00 ,08/02/2017  13:00 ,30
White Plains,ACTUAL,08/02/2017  13:00 ,08/02/2017  14:00 ,70
