Station,Scenario,IntervalStartDt,IntervalEndDt,Sunshine
White Plains,ACTUAL,8/1/2017 0:00,8/1/2017 1:00,0
White Plains,ACTUAL,8/1/2017 1:00,8/1/2017 2:00,0
White Plains,ACTUAL,8/1/2017 2:00,8/1/2017 3:00,0
White Plains,ACTUAL,8/1/2017 3:00,8/1/2017 4:00,0
White Plains,ACTUAL,8/1/2017 4:00,8/1/2017 5:00,9
White Plains,ACTUAL,8/1/2017 5:00,8/1/2017 6:00,60
White Plains,ACTUAL,8/1/2017 6:00,8/1/2017 7:00,60
White Plains,ACTUAL,8/1/2017 7:00,8/1/2017 8:00,60
White Plains,ACTUAL,8/1/2017 8:00,8/1/2017 9:00,60
White Plains,ACTUAL,8/1/2017 9:00,8/1/2017 10:00,60
White Plains,ACTUAL,8/1/2017 10:00,8/1/2017 11:00,39
White Plains,ACTUAL,8/1/2017 11:00,8/1/2017 12:00,39
White Plains,ACTUAL,8/1/2017 12:00,8/1/2017 13:00,39
White Plains,ACTUAL,8/1/2017 13:00,8/1/2017 14:00,39
White Plains,ACTUAL,8/1/2017 14:00,8/1/2017 15:00,39
White Plains,ACTUAL,8/1/2017 15:00,8/1/2017 16:00,39
White Plains,ACTUAL,8/1/2017 16:00,8/1/2017 17:00,39
White Plains,ACTUAL,8/1/2017 17:00,8/1/2017 18:00,39
White Plains,ACTUAL,8/1/2017 18:00,8/1/2017 19:00,39
White Plains,ACTUAL,8/1/2017 19:00,8/1/2017 20:00,6
White Plains,ACTUAL,8/1/2017 20:00,8/1/2017 21:00,0
White Plains,ACTUAL,8/1/2017 21:00,8/1/2017 22:00,0
White Plains,ACTUAL,8/1/2017 22:00,8/1/2017 23:00,0
White Plains,ACTUAL,8/1/2017 23:00,8/2/2017 0:00,0
White Plains,ACTUAL,8/2/2017 0:00,8/2/2017 1:00,0
White Plains,ACTUAL,8/2/2017 1:00,8/2/2017 2:00,0
White Plains,ACTUAL,8/2/2017 2:00,8/2/2017 3:00,0
White Plains,ACTUAL,8/2/2017 3:00,8/2/2017 4:00,0
White Plains,ACTUAL,8/2/2017 4:00,8/2/2017 5:00,8
White Plains,ACTUAL,8/2/2017 5:00,8/2/2017 6:00,60
White Plains,ACTUAL,8/2/2017 6:00,8/2/2017 7:00,60
White Plains,ACTUAL,8/2/2017 7:00,8/2/2017 8:00,60
White Plains,ACTUAL,8/2/2017 8:00,8/2/2017 9:00,60
White Plains,ACTUAL,8/2/2017 9:00,8/2/2017 10:00,60
White Plains,ACTUAL,8/2/2017 10:00,8/2/2017 11:00,39
